"Neighborhood","Activated","Latitude","Longitude"
"Springfield Gardens North",2016-01-01,40.6748599999,-73.7841200005
"Flushing",2016-01-01,40.7475599996,-73.8181499997
"East Williamsburg",2016-01-01,40.7119259997,-73.9406699994
"Brooklyn Heights-Cobble Hill",2016-01-01,40.6899850001,-73.9919950004
"Upper East Side-Carnegie Hill",2016-01-01,40.7646300002,-73.9661150001
"Queensboro Hill",2016-01-01,40.7424300003,-73.8115100003
"Central Harlem North-Polo Grounds",2016-01-01,40.812944,-73.9416929996
"Clinton Hill",2016-01-01,40.6873790941,-73.966030666
"Ridgewood",2016-01-01,40.6956020001,-73.9040840004
"Ocean Hill",2016-01-01,40.6783340002,-73.9053160001
"Claremont-Bathgate",2016-01-01,40.8406639999,-73.8983720002
"Governors Island",2016-01-01,40.6903899996,-74.0199599995
"Central Harlem North-Polo Grounds",2016-01-01,40.81026,-73.9395100003
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2018-01-01,40.6879008003,-73.9931469103
"Park Slope-Gowanus",2017-07-01,40.6836250004,-73.9770060002
"Old Town-Dongan Hills-South Beach",2017-02-01,40.5909830002,-74.1007320003
"Ocean Hill",2016-01-01,40.6848100477,-73.915132416
"Hunters Point-Sunnyside-West Maspeth",2017-11-01,40.7536406401,-73.9184016594
"Bushwick North",2016-01-01,40.7025399998,-73.9238159997
"East Village",2017-10-01,40.7312190398,-73.9828270001
"East Village",2017-10-01,40.728824,-73.9846799999
"Gramercy",2016-01-01,40.7356259996,-73.9853220002
"Murray Hill-Kips Bay",2016-12-01,40.739528,-73.9824889997
"Midtown-Midtown South",2017-06-01,40.7602353199,-73.9840119597
"Lenox Hill-Roosevelt Island",2018-06-01,40.7651194601,-73.9576938298
"East Village",2016-09-01,40.7302489998,-73.9863479994
"Turtle Bay-East Midtown",2018-03-01,40.7516323603,-73.9706571702
"Elmhurst-Maspeth",2017-09-01,40.73933161,-73.8781299298
"Ocean Hill",2017-01-01,40.6780789998,-73.9083739999
"Battery Park City-Lower Manhattan",2016-01-01,40.7015990998,-74.0093001995
"Prospect Heights",2016-01-01,40.67705,-73.9723670001
"Astoria",2017-07-01,40.7629999999,-73.9132590006
"Erasmus",2017-10-01,40.6510267597,-73.9465128704
"West Village",2018-08-01,40.7365398796,-73.9971555402
"Lenox Hill-Roosevelt Island",2016-11-01,40.7709460001,-73.9594960004
"Carroll Gardens-Columbia Street-Red Hook",2016-01-01,40.6752551911,-74.0103512916
"Turtle Bay-East Midtown",2017-06-01,40.7615592304,-73.9683905603
"Cypress Hills-City Line",2017-12-01,40.6838205904,-73.8713797301
"Bedford Park-Fordham North",2017-10-01,40.8648700001,-73.8927999994
"Gramercy",2019-01-01,40.7415361403,-73.9813326198
"Upper West Side",2016-10-01,40.7978261899,-73.9677477303
"Central Harlem North-Polo Grounds",2016-10-01,40.8229240001,-73.9417229998
"Bushwick North",2016-01-01,40.7033079996,-73.9240869998
"Lincoln Square",2017-10-01,40.7800194697,-73.9813959896
"Hunters Point-Sunnyside-West Maspeth",2017-02-01,40.74387741,-73.9269261104
"East Harlem North",2016-01-01,40.8048000002,-73.9443
"Midtown-Midtown South",2017-10-01,40.7476272599,-73.9850371596
"Hudson Yards-Chelsea-Flatiron-Union Square",2016-04-01,40.7442600298,-73.9993978695
"Clinton",2016-07-01,40.7666381202,-73.9830918204
"Schuylerville-Throgs Neck-Edgewater Park",2016-01-01,40.818752,-73.82456
"Lenox Hill-Roosevelt Island",2016-01-01,40.7612533724,-73.9501658898
"Hamilton Heights",2016-08-01,40.8275800002,-73.9492880002
"Brooklyn Heights-Cobble Hill",2016-01-01,40.6908829998,-73.9896349995
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2016-01-01,40.6927230002,-73.9830250002
"Crown Heights North",2018-02-01,40.6751409996,-73.9562809996
"Midtown-Midtown South",2017-10-01,40.7604737301,-73.9760991397
"Morningside Heights",2016-06-01,40.8037209997,-73.967381
"Bedford Park-Fordham North",2016-11-01,40.8670379998,-73.8965369996
"Upper West Side",2016-11-01,40.7944615402,-73.9715730901
"Midtown-Midtown South",2017-05-01,40.7577338402,-73.9754336596
"Battery Park City-Lower Manhattan",2018-02-01,40.7062418498,-74.0062435098
"Hudson Yards-Chelsea-Flatiron-Union Square",2017-04-01,40.7427595303,-73.9864199897
"West Village",2017-01-01,40.7302576896,-74.0066285504
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2016-01-01,40.6932189996,-73.9899979996
"East Harlem North",2016-01-01,40.8050129997,-73.9449089999
"Melrose South-Mott Haven North",2018-06-01,40.8161882102,-73.9099166103
"Forest Hills",2016-07-01,40.7186019996,-73.8381840006
"Kingsbridge Heights",2016-09-01,40.8626436497,-73.9032440399
"Upper East Side-Carnegie Hill",2016-01-01,40.7795609103,-73.9599541
"Kew Gardens",2016-07-01,40.7131669699,-73.8298089703
"Central Harlem South",2016-01-01,40.7990749998,-73.9518220006
"Manhattanville",2016-01-01,40.8205899999,-73.9596899999
"Lincoln Square",2016-07-01,40.77464584,-73.9823998204
"Murray Hill-Kips Bay",2018-03-01,40.7468675402,-73.9745200604
"Bedford Park-Fordham North",2016-01-01,40.8629806052,-73.8945028865
"Fort Greene",2016-01-01,40.695295,-73.9801031998
"Upper West Side",2016-12-01,40.7872468703,-73.9776456494
"Murray Hill-Kips Bay",2018-06-01,40.7458632901,-73.9802332999
"Woodlawn-Wakefield",2016-01-01,40.9004399098,-73.867942
"Hudson Yards-Chelsea-Flatiron-Union Square",2016-01-01,40.7431927759,-74.0073877576
