"date","wifi","arrests"
2016-01-01,1508,27343
2016-02-01,1523,27036
2016-03-01,1587,28583
2016-04-01,1644,26907
2016-05-01,1671,28176
2016-06-01,1697,26470
2016-07-01,1800,24563
2016-08-01,1820,26983
2016-09-01,1865,25021
2016-10-01,1911,26916
2016-11-01,1956,23442
2016-12-01,2019,23424
2017-01-01,2055,25770
2017-02-01,2109,23165
2017-03-01,2173,25658
2017-04-01,2233,25026
2017-05-01,2309,25048
2017-06-01,2398,23431
2017-07-01,2458,23433
2017-08-01,2544,24098
2017-09-01,2596,22585
2017-10-01,2669,24745
2017-11-01,2708,22991
2017-12-01,2726,20275
2018-01-01,2789,23882
2018-02-01,2889,21724
2018-03-01,2953,22462
2018-04-01,3063,21327
2018-05-01,3159,22036
2018-06-01,3211,19612
2018-07-01,3249,20875
2018-08-01,3259,21380
2018-09-01,3262,18518
2018-10-01,3268,19554
2018-11-01,3269,18002
2018-12-01,3271,17401
2019-01-01,3300,20091
2019-02-01,3318,17692
2019-03-01,3319,19672
