"date","precinct","arrests"
2016-01-01,1,313
2016-01-01,5,501
2016-01-01,6,291
2016-01-01,7,262
2016-01-01,9,317
2016-01-01,10,315
2016-01-01,13,481
2016-01-01,14,1138
2016-01-01,17,141
2016-01-01,18,464
2016-01-01,19,250
2016-01-01,20,145
2016-01-01,22,15
2016-01-01,23,450
2016-01-01,24,248
2016-01-01,25,568
2016-01-01,26,183
2016-01-01,28,328
2016-01-01,30,305
2016-01-01,32,438
2016-01-01,33,297
2016-01-01,34,341
2016-01-01,40,1017
2016-01-01,41,585
2016-01-01,42,509
2016-01-01,43,442
2016-01-01,44,763
2016-01-01,45,259
2016-01-01,46,508
2016-01-01,47,506
2016-01-01,48,502
2016-01-01,49,320
2016-01-01,50,151
2016-01-01,52,587
2016-01-01,60,351
2016-01-01,61,251
2016-01-01,62,217
2016-01-01,63,183
2016-01-01,66,175
2016-01-01,67,476
2016-01-01,68,199
2016-01-01,69,246
2016-01-01,70,357
2016-01-01,71,407
2016-01-01,72,232
2016-01-01,73,627
2016-01-01,75,758
2016-01-01,76,169
2016-01-01,77,365
2016-01-01,78,194
2016-01-01,79,453
2016-01-01,81,395
2016-01-01,83,347
2016-01-01,84,397
2016-01-01,88,194
2016-01-01,90,303
2016-01-01,94,140
2016-01-01,100,153
2016-01-01,101,232
2016-01-01,102,309
2016-01-01,103,685
2016-01-01,104,234
2016-01-01,105,275
2016-01-01,106,302
2016-01-01,107,225
2016-01-01,108,194
2016-01-01,109,332
2016-01-01,110,362
2016-01-01,111,149
2016-01-01,112,167
2016-01-01,113,547
2016-01-01,114,455
2016-01-01,115,388
2016-01-01,120,373
2016-01-01,121,337
2016-01-01,122,136
2016-01-01,123,112
2016-02-01,1,309
2016-02-01,5,462
2016-02-01,6,275
2016-02-01,7,207
2016-02-01,9,285
2016-02-01,10,275
2016-02-01,13,466
2016-02-01,14,1188
2016-02-01,17,125
2016-02-01,18,376
2016-02-01,19,270
2016-02-01,20,140
2016-02-01,22,18
2016-02-01,23,414
2016-02-01,24,241
2016-02-01,25,595
2016-02-01,26,225
2016-02-01,28,359
2016-02-01,30,282
2016-02-01,32,423
2016-02-01,33,358
2016-02-01,34,366
2016-02-01,40,886
2016-02-01,41,521
2016-02-01,42,487
2016-02-01,43,472
2016-02-01,44,742
2016-02-01,45,243
2016-02-01,46,439
2016-02-01,47,478
2016-02-01,48,512
2016-02-01,49,305
2016-02-01,50,198
2016-02-01,52,474
2016-02-01,60,406
2016-02-01,61,238
2016-02-01,62,199
2016-02-01,63,232
2016-02-01,66,167
2016-02-01,67,480
2016-02-01,68,198
2016-02-01,69,215
2016-02-01,70,312
2016-02-01,71,400
2016-02-01,72,253
2016-02-01,73,671
2016-02-01,75,874
2016-02-01,76,155
2016-02-01,77,336
2016-02-01,78,219
2016-02-01,79,418
2016-02-01,81,338
2016-02-01,83,368
2016-02-01,84,396
2016-02-01,88,233
2016-02-01,90,322
2016-02-01,94,123
2016-02-01,100,154
2016-02-01,101,215
2016-02-01,102,328
2016-02-01,103,693
2016-02-01,104,243
2016-02-01,105,320
2016-02-01,106,350
2016-02-01,107,226
2016-02-01,108,149
2016-02-01,109,310
2016-02-01,110,337
2016-02-01,111,100
2016-02-01,112,182
2016-02-01,113,566
2016-02-01,114,474
2016-02-01,115,438
2016-02-01,120,341
2016-02-01,121,326
2016-02-01,122,196
2016-02-01,123,119
2016-03-01,1,349
2016-03-01,5,448
2016-03-01,6,241
2016-03-01,7,223
2016-03-01,9,291
2016-03-01,10,281
2016-03-01,13,444
2016-03-01,14,984
2016-03-01,17,196
2016-03-01,18,438
2016-03-01,19,233
2016-03-01,20,146
2016-03-01,22,20
2016-03-01,23,436
2016-03-01,24,191
2016-03-01,25,602
2016-03-01,26,200
2016-03-01,28,379
2016-03-01,30,305
2016-03-01,32,510
2016-03-01,33,373
2016-03-01,34,367
2016-03-01,40,910
2016-03-01,41,605
2016-03-01,42,537
2016-03-01,43,526
2016-03-01,44,825
2016-03-01,45,243
2016-03-01,46,453
2016-03-01,47,473
2016-03-01,48,496
2016-03-01,49,286
2016-03-01,50,189
2016-03-01,52,480
2016-03-01,60,415
2016-03-01,61,235
2016-03-01,62,244
2016-03-01,63,206
2016-03-01,66,216
2016-03-01,67,564
2016-03-01,68,230
2016-03-01,69,273
2016-03-01,70,379
2016-03-01,71,413
2016-03-01,72,293
2016-03-01,73,702
2016-03-01,75,1003
2016-03-01,76,191
2016-03-01,77,398
2016-03-01,78,246
2016-03-01,79,442
2016-03-01,81,326
2016-03-01,83,341
2016-03-01,84,406
2016-03-01,88,251
2016-03-01,90,310
2016-03-01,94,140
2016-03-01,100,163
2016-03-01,101,276
2016-03-01,102,335
2016-03-01,103,744
2016-03-01,104,286
2016-03-01,105,371
2016-03-01,106,318
2016-03-01,107,226
2016-03-01,108,174
2016-03-01,109,328
2016-03-01,110,438
2016-03-01,111,133
2016-03-01,112,201
2016-03-01,113,609
2016-03-01,114,501
